Symbol,Company Name,Industry,Market Cap
APCX,AppTech Payments,Software - Infrastructure,23450085
APD,Air Products and Chemicals,Specialty Chemicals,53263319600
APDN,Applied DNA Sciences,Medical - Diagnostics & Research,7504585
APEI,American Public Education,Education & Training Services,248750313
APG,APi Group,Engineering & Construction,10353278052
APGE,Apogee Therapeutics,Biotechnology,3445791960
APH,Amphenol,"Hardware, Equipment & Parts",69205271350
API,Agora,Software - Application,247776994
APLD,Applied Digital,Capital Markets,406408984
APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3876492300
APLM,Apollomics,Biotechnology,53697480
APLS,Apellis Pharmaceuticals,Biotechnology,6867144900
APLT,Applied Therapeutics,Biotechnology,657558270
APM,Aptorum Group,Biotechnology,44008059
APO,Apollo Global Management,Asset Management - Global,63969246990
APOG,Apogee Enterprises,Construction,1305891963
APP,AppLovin,Software - Application,24917901129
APPF,AppFolio,Software - Application,8515780492
APPN,Appian,Software - Infrastructure,2753274623
APPS,Digital Turbine,Software - Application,234648300
APRE,Aprea Therapeutics,Biotechnology,36219501
APT,Alpha Pro Tech,Construction,78170840
APTO,Aptose Biosciences,Biotechnology,22633488
APTV,Aptiv,Auto Parts,21151710030
APVO,Aptevo Therapeutics,Biotechnology,2559034
APWC,Asia Pacific Wire & Cable Corporation,Electrical Equipment & Parts,28038032
APXI,APx Acquisition I,Shell Companies,113074515
APYX,Apyx Medical,Medical Devices,55083801
AQB,AquaBounty Technologies,Agricultural Farm Products,7616605
AQMS,Aqua Metals,Waste Management,68381503
AQN,Algonquin Power & Utilities,Renewable Utilities,4295192510
AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,394059402
AQU,Aquaron Acquisition,Shell Companies,49401678
AR,Antero Resources,Oil & Gas Exploration & Production,8927934880
ARAY,Accuray,Medical Devices,238005120
ARBB,ARB IOT Group,Information Technology Services,35161875
ARBE,Arbe Robotics,Software - Infrastructure,152518385
ARBK,Argo Blockchain,Financial - Capital Markets,95306640
ARC,ARC Document Solutions,Specialty Business Services,114184953
ARCB,ArcBest,Trucking,3412281684
ARCC,Ares Capital,Asset Management,12426792960
ARCH,Arch Resources,Coal,2894564355
ARCO,Arcos Dorados Holdings,Restaurants,2308116169
ARCT,Arcturus Therapeutics Holdings,Biotechnology,881203648
ARDX,Ardelyx,Biotechnology,1710242100
ARE,Alexandria Real Estate Equities,REIT - Office,21605584000
AREB,American Rebel Holdings,Footwear & Accessories,1748606
AREC,American Resources,Coal,104488181
AREN,The Arena Group Holdings,Internet Content & Information,20736363
ARES,Ares Management,Asset Management,25060098440
ARGX,argenx SE,Biotechnology,23631333678
ARHS,Arhaus,Home Improvement,2195465086
ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1557383120
ARIS,Aris Water Solutions,Regulated Water,440463500
ARKO,Arko Corp.,Specialty Retail,631194740
ARKR,Ark Restaurants,Restaurants,49593242
ARL,American Realty Investors,Real Estate - Development,276522240
ARLO,Arlo Technologies,Security & Protection Services,1143113488
ARLP,Alliance Resource Partners,Coal,2650883400
ARM,Arm Holdings,Semiconductors,128828121733
ARMK,Aramark,Specialty Business Services,8458892420
ARMN,Aris Mining,Gold,514840710
ARMP,Armata Pharmaceuticals,Biotechnology,131942025
AROC,Archrock,Oil & Gas Equipment & Services,3247685420
AROW,Arrow Financial,Banks - Regional,393963780
ARQ,"Arq, Inc.",Pollution & Treatment Controls,251282304
ARQQ,Arqit Quantum,Software - Infrastructure,89763244
ARQT,Arcutis Biotherapeutics,Biotechnology,1107170730
ARR,ARMOUR Residential REIT,REIT - Mortgage,947571036
ARRW,Arrowroot Acquisition,Shell Companies,145649079
ARRY,Array Technologies,Solar,2178547200
ARTL,Artelo Biosciences,Biotechnology,4906104
ARTNA,Artesian Resources,Regulated Water,367131717
ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,10430213
ARVN,Arvinas,Biotechnology,2627357701
ARW,Arrow Electronics,Technology Distributors,6952755880
ARWR,Arrowhead Pharmaceuticals,Biotechnology,3280792560
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,89499567
AS,Amer Sports,Leisure,7817308724
ASA,ASA Gold and Precious Metals,Asset Management,315196966
ASAI,Sendas Distribuidora,Grocery Stores,3755383740
ASAN,Asana,Software - Application,3349633031
ASB,Associated Banc-Corp,Banks - Regional,3151695680
ASC,Ardmore Shipping,Marine Shipping,703594430
ASCA,A SPAC I Acquisition,Shell Companies,11216678
ASCB,A SPAC II Acquisition,Shell Companies,79951948
ASGN,ASGN Incorporated,Information Technology Services,4705335000
ASH,Ashland,Specialty Chemicals,4850197900
ASIX,AdvanSix,Chemicals,740925000
ASLE,AerSale,"Airlines, Airports & Air Services",384184025
ASLN,ASLAN Pharmaceuticals,Biotechnology,9319765
ASM,Avino Silver & Gold Mines,Other Precious Metals,105300810
ASMB,Assembly Biosciences,Biotechnology,75607123
ASML,ASML Holding,Semiconductors,389142823429
